record_id,n_stems,stem_diameter_1_cm,stem_diameter_2_cm,stem_diameter_3_cm,stem_diameter_4_cm,stem_diameter_5_cm,height_m,life_stage,physiological_condition,classification,county,latin_name_clean,common_name_clean,generic_name_clean,genus,species,combined_stem_diameter_cm,is_multistem,crown_radius_n_m,crown_radius_s_m,crown_radius_e_m,crown_radius_w_m,crown_radius_se_m,crown_radius_nw_m,crown_radius_ne_m,crown_radius_sw_m,crown_radius_minimum_bounding_circle,crown_radius_maximum,data_contributor_id
993206fd-a580-4649-b979-45ae23eca818,1,55.5,,,,,20.0,semi_mature,good,suburban,cheshire,tilia europaea,common lime,lime,tilia,europaea,55.5,False,8.5,9.0,6.0,6.0,,,,,8.8,9.0,C1
da6f26e5-890a-41a0-96a5-469dbc1ee9b4,1,65.0,,,,,18.0,semi_mature,good,suburban,cheshire,aesculus hippocastanum,horse chestnut,horse chestnut,aesculus,hippocastanum,65.0,False,8.0,9.0,6.0,8.0,,,,,8.5,9.0,C1
85be7deb-5e04-4641-bdac-8a8c7d44c153,2,27.0,23.0,,,,8.0,mature,good,suburban,somerset,magnolia macrophylla,bigleaf magnolia,magnolia,magnolia,macrophylla,35.5,True,4.5,3.5,5.0,4.0,,,,,4.5,5.0,C1
998e8fb8-ebc4-4959-b060-03c5a5886b87,2,24.5,24.0,,,,8.0,mature,good,suburban,somerset,magnolia macrophylla,bigleaf magnolia,magnolia,magnolia,macrophylla,34.3,True,4.0,5.0,5.0,4.5,,,,,4.8,5.0,C1
f8157205-13e6-4052-bc9a-17b876fc8008,1,40.0,,,,,15.0,semi_mature,fair,urban,somerset,acer pseudoplatanus,sycamore,sycamore,acer,pseudoplatanus,40.0,False,7.0,7.0,6.0,6.0,,,,,7.0,7.0,C1
6fc59b04-7883-4147-94d9-850ed3c5a003,2,50.0,45.0,,,,18.0,mature,good,urban,somerset,acer pseudoplatanus,sycamore,sycamore,acer,pseudoplatanus,67.3,True,7.0,7.0,6.0,6.0,,,,,7.0,7.0,C1
68d89a2b-37b5-442b-b1a4-160fd07dcbc8,2,35.0,30.0,,,,12.0,semi_mature,good,urban,somerset,acer pseudoplatanus,sycamore,sycamore,acer,pseudoplatanus,46.1,True,5.0,5.0,5.0,4.0,,,,,5.0,5.0,C1
c3265e09-8018-4f41-9774-a55da82aa232,1,40.0,,,,,22.0,semi_mature,good,urban,somerset,acer pseudoplatanus,sycamore,sycamore,acer,pseudoplatanus,40.0,False,7.0,8.0,7.0,2.0,,,,,7.5,8.0,C1
d394ed9b-c18a-44fe-bdf5-a2543edbeebf,1,55.0,,,,,22.0,mature,good,urban,somerset,acer pseudoplatanus,sycamore,sycamore,acer,pseudoplatanus,55.0,False,7.0,8.0,5.0,8.0,,,,,7.5,8.0,C1
7f67f1a8-298e-425e-acf3-fd65a26580dc,2,50.0,45.0,,,,18.0,mature,good,urban,somerset,fraxinus excelsior,european ash,ash,fraxinus,excelsior,67.3,True,7.0,7.0,5.0,8.0,,,,,7.0,8.0,C1
99f94f77-8b67-42e4-95fe-5c4009b9d374,1,15.0,,,,,12.0,young,good,urban,somerset,acer pseudoplatanus,sycamore,sycamore,acer,pseudoplatanus,15.0,False,2.0,4.0,4.0,2.0,,,,,3.0,4.0,C1
8007f82f-fbd3-4004-8a0b-96b5052df140,1,45.0,,,,,16.0,semi_mature,good,urban,somerset,fraxinus excelsior,european ash,ash,fraxinus,excelsior,45.0,False,6.0,2.0,7.0,6.0,,,,,6.5,7.0,C1
1896c13c-c7f7-4325-b4e6-075cc362f551,1,60.0,,,,,18.0,semi_mature,good,urban,somerset,fraxinus excelsior,european ash,ash,fraxinus,excelsior,60.0,False,5.0,7.0,8.0,8.0,,,,,8.0,8.0,C1
c54b9a76-b571-4eb8-a8c5-f2aa1142625b,1,40.0,,,,,12.0,mature,good,urban,somerset,salix caprea,goat willow,willow,salix,caprea,40.0,False,1.0,8.0,6.0,6.0,,,,,6.0,8.0,C1
beaa227d-59de-492b-b976-bfe0414844b7,1,27.5,,,,,10.0,semi_mature,good,urban,somerset,acer campestre,field maple,field maple,acer,campestre,27.5,False,4.0,4.0,5.0,5.0,,,,,5.0,5.0,C1
7c0747ca-2293-43ce-b658-5e353a388795,1,62.0,,,,,20.5,mature,good,rural,staffordshire,fagus sylvatica,beech,beech,fagus,sylvatica,62.0,False,9.0,9.5,7.0,7.0,,,,,9.2,9.5,C1
427c7d32-c0d2-4251-8983-a5be010a8d9b,1,68.0,,,,,21.5,mature,good,rural,staffordshire,fagus sylvatica,beech,beech,fagus,sylvatica,68.0,False,6.5,8.0,8.0,7.0,,,,,7.5,8.0,C1
